,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AvgTimeInCompany
602,24,1,Travel_Frequently,Research & Development,22,4,Medical,Male,1,Sales Representative,Married,26540,0,22,0,1,5,1,0,0,3,4,3,2,4,1
2953,47,1,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1,11,2,10,4,4,9,9,1,2,2,2,3,5
4362,32,1,Travel_Rarely,Research & Development,5,3,Medical,Male,1,Healthcare Representative,Married,34770,1,11,0,14,2,5,9,8,4,4,2,4,3,7
2467,33,1,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,1,Sales Executive,Single,43020,2,13,0,11,3,1,0,0,1,1,2,1,3,3.666666667
3434,36,1,Travel_Rarely,Sales,2,4,Technical Degree,Male,4,Sales Executive,Single,54820,1,18,0,18,3,6,9,10,3,1,3,3,3,9
979,32,1,Travel_Rarely,Research & Development,26,3,Medical,Female,2,Research Director,Single,88230,6,13,2,10,3,1,0,0,1,2,3,3,3,1.428571429
1238,32,1,Travel_Frequently,Research & Development,10,3,Medical,Female,2,Manufacturing Director,Single,165980,1,13,0,10,2,4,6,7,2,1,3,3,3,5
1681,32,1,Non-Travel,Research & Development,7,2,Life Sciences,Female,2,Research Director,Married,32980,8,22,0,6,4,3,1,2,4,3,3,2,4,0.666666667
1691,24,1,Travel_Frequently,Research & Development,2,3,Medical,Male,2,Research Scientist,Married,39190,1,21,0,6,3,4,1,2,1,3,3,3,4,3
2809,24,1,Travel_Rarely,Research & Development,5,2,Life Sciences,Male,1,Manager,Single,53320,1,22,1,1,2,1,0,0,4,3,2,3,4,0.5
2864,41,1,Travel_Rarely,Research & Development,18,4,Life Sciences,Male,4,Laboratory Technician,Single,53470,1,22,1,4,1,3,0,2,2,2,2,3,4,2
1580,40,1,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2,20,0,8,2,4,1,0,3,3,3,2,4,2.666666667
4357,29,1,Travel_Rarely,Sales,10,2,Life Sciences,Female,2,Research Scientist,Married,20970,1,19,2,10,2,4,1,9,2,4,2,3,3,5
1868,32,1,Travel_Rarely,Research & Development,9,1,Medical,Female,1,Laboratory Technician,Single,27410,1,15,1,1,5,1,0,1,1,4,1,2,3,0.5
2048,29,1,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,1,Sales Executive,Married,22440,1,12,3,11,5,5,3,10,4,1,1,1,3,5.5
340,28,1,Travel_Rarely,Research & Development,19,4,Medical,Female,2,Sales Executive,Single,32040,6,16,1,5,4,2,2,1,3,3,2,2,3,0.714285714
1336,31,1,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,3,Sales Executive,Married,21410,4,20,0,12,2,4,7,7,2,3,2,3,4,2.4
1121,27,1,Travel_Frequently,Sales,8,1,Life Sciences,Male,4,Laboratory Technician,Married,102310,1,13,1,1,2,1,0,0,1,2,3,3,3,0.5
2295,40,1,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Research Director,Single,47750,3,15,1,15,3,3,1,0,4,1,1,4,3,3.75
3067,30,1,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,20970,8,19,0,3,2,1,0,0,3,4,3,2,3,0.5
267,24,1,Travel_Rarely,Research & Development,17,2,Life Sciences,Female,1,Healthcare Representative,Single,25010,8,12,0,4,3,2,2,0,1,3,3,1,3,0.5
947,32,1,Travel_Rarely,Sales,1,3,Life Sciences,Male,2,Research Scientist,Single,27430,1,19,1,1,2,1,0,0,4,2,3,3,3,0.5
110,40,1,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2,20,0,8,2,4,1,0,3,3,3,2,4,2.666666667
411,39,1,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,4,Human Resources,Married,66960,7,11,0,8,3,2,2,2,4,1,1,3,3,1
3250,54,1,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,4,Laboratory Technician,Married,74280,5,12,0,24,2,3,1,4,4,1,3,3,3,4
2076,41,1,Non-Travel,Research & Development,12,3,Life Sciences,Male,2,Sales Representative,Divorced,178560,6,16,0,5,2,1,0,0,1,1,1,4,3,0.714285714
754,31,1,Travel_Frequently,Sales,4,3,Life Sciences,Male,2,Manager,Single,30570,1,19,0,1,3,1,0,0,2,3,3,3,3,0.5
3979,26,1,Travel_Rarely,Research & Development,2,1,Technical Degree,Female,3,Sales Executive,Married,65780,0,15,2,6,3,3,1,4,4,2,3,2,3,6
2918,33,1,Travel_Rarely,Sales,1,3,Life Sciences,Male,2,Manager,Married,51470,7,11,0,13,2,4,1,7,1,1,4,3,3,1.625
408,24,1,Travel_Rarely,Research & Development,15,4,Life Sciences,Female,1,Laboratory Technician,Married,124900,0,13,0,4,3,2,0,2,2,3,4,3,3,4
800,34,1,Travel_Rarely,Research & Development,7,1,Medical,Male,1,Research Scientist,Single,62880,0,15,1,16,2,5,9,10,1,2,4,3,3,10.5
3117,33,1,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,4,Research Director,Married,67280,7,22,0,15,2,4,7,7,2,3,4,2,4,1.875
3634,31,1,Travel_Frequently,Research & Development,3,1,Life Sciences,Male,1,Sales Executive,Single,71040,1,14,1,3,3,2,2,2,4,2,4,3,3,1.5
2413,24,1,Travel_Rarely,Research & Development,6,3,Life Sciences,Female,3,Laboratory Technician,Single,49690,1,12,0,5,3,3,1,2,4,3,3,3,3,2.5
4176,34,1,Travel_Rarely,Sales,15,2,Marketing,Female,2,Research Scientist,Single,84630,2,13,0,8,2,3,1,3,2,1,3,1,3,2.666666667
2551,24,1,Travel_Rarely,Research & Development,16,2,Life Sciences,Female,2,Laboratory Technician,Single,35790,1,19,3,1,3,1,0,0,4,2,3,3,3,0.5
1807,54,1,Travel_Rarely,Research & Development,24,3,Other,Female,2,Research Scientist,Single,43170,7,17,0,28,2,6,9,8,4,2,3,3,3,5
2289,29,1,Travel_Rarely,Research & Development,5,3,Life Sciences,Female,2,Research Scientist,Single,109340,6,17,2,11,2,4,0,7,1,1,1,3,3,1.571428571
3052,24,1,Travel_Rarely,Research & Development,10,2,Life Sciences,Male,1,Laboratory Technician,Single,53730,1,12,1,1,2,1,0,0,3,2,3,3,3,0.5
1428,30,1,Travel_Frequently,Sales,3,2,Medical,Male,2,Healthcare Representative,Single,28620,5,14,0,9,2,4,0,1,3,1,2,2,3,1.5
267,24,1,Travel_Rarely,Research & Development,17,2,Life Sciences,Female,1,Healthcare Representative,Single,25010,8,12,0,4,3,2,2,0,1,3,3,1,3,0.5
182,34,1,Travel_Frequently,Sales,17,1,Marketing,Male,1,Research Director,Divorced,20970,8,22,1,11,5,2,0,2,2,1,3,4,4,1.1
778,31,1,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,1,Laboratory Technician,Married,65000,6,22,1,7,5,2,2,2,2,4,1,3,4,1
1236,34,1,Travel_Rarely,Sales,15,2,Marketing,Female,2,Research Scientist,Single,84630,2,13,0,8,2,3,1,3,2,1,3,1,3,2.666666667
211,32,1,Non-Travel,Research & Development,7,2,Life Sciences,Female,2,Research Director,Married,32980,8,22,0,6,4,3,1,2,4,3,3,2,4,0.666666667
315,26,1,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,2,Laboratory Technician,Single,26130,6,19,1,6,2,3,1,2,4,1,2,3,3,0.857142857
3125,24,1,Travel_Frequently,Research & Development,7,3,Medical,Female,2,Laboratory Technician,Single,37850,5,13,2,4,2,2,1,2,3,3,3,3,3,0.666666667
2491,44,1,Travel_Frequently,Sales,10,4,Life Sciences,Male,1,Research Scientist,Divorced,28440,1,12,0,6,2,3,2,3,3,2,2,4,3,3
3513,31,1,Travel_Frequently,Sales,10,3,Technical Degree,Female,1,Research Director,Married,53040,1,17,0,2,3,2,2,2,3,3,2,4,3,1
571,33,1,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Sales Executive,Single,49360,0,14,0,6,2,3,0,3,1,1,3,2,3,6
4221,36,1,Travel_Rarely,Sales,7,2,Life Sciences,Male,4,Laboratory Technician,Married,144110,0,18,3,2,2,1,0,0,4,3,2,4,3,2
3391,31,1,Non-Travel,Research & Development,26,4,Medical,Male,2,Research Scientist,Single,25930,0,21,0,4,2,2,1,2,3,1,3,3,4,4
3740,34,1,Travel_Rarely,Research & Development,7,1,Medical,Male,1,Research Scientist,Single,62880,0,15,1,16,2,5,9,10,1,2,4,3,3,10.5
2864,41,1,Travel_Rarely,Research & Development,18,4,Life Sciences,Male,4,Laboratory Technician,Single,53470,1,22,1,4,1,3,0,2,2,2,2,3,4,2
3955,24,1,Travel_Rarely,Research & Development,1,3,Other,Male,4,Research Scientist,Married,49680,1,14,0,1,3,1,0,0,3,1,3,3,3,0.5
30,26,1,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2,11,0,5,5,2,0,2,1,2,3,2,3,1.666666667
1338,54,1,Travel_Rarely,Sales,2,2,Medical,Female,1,Research Scientist,Married,43850,1,13,1,28,2,6,9,6,4,4,2,2,3,10.5
3125,24,1,Travel_Frequently,Research & Development,7,3,Medical,Female,2,Laboratory Technician,Single,37850,5,13,2,4,2,2,1,2,3,3,3,3,3,0.666666667
2448,36,1,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Manufacturing Director,Divorced,33760,5,20,0,16,3,2,2,2,2,1,3,3,4,2.666666667
2416,48,1,Travel_Frequently,Sales,10,2,Marketing,Male,1,Healthcare Representative,Married,63470,2,12,1,19,3,4,7,7,4,3,3,1,3,6.333333333
1257,41,1,Travel_Rarely,Sales,20,4,Marketing,Male,2,Sales Executive,Married,102090,1,13,1,23,2,6,9,8,2,3,3,3,3,10.5
110,40,1,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2,20,0,8,2,4,1,0,3,3,3,2,4,2.666666667
3430,26,1,Non-Travel,Research & Development,21,1,Life Sciences,Female,1,Manufacturing Director,Single,135250,8,17,1,7,4,2,2,2,2,1,3,2,3,0.777777778
2859,24,1,Travel_Rarely,Research & Development,8,2,Life Sciences,Male,2,Sales Executive,Single,159720,1,21,0,1,2,1,1,0,2,4,2,3,4,0.5
4276,31,1,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,3,Sales Executive,Married,21410,4,20,0,12,2,4,7,7,2,3,2,3,4,2.4
3518,29,1,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,1,Sales Executive,Married,22440,1,12,3,11,5,5,3,10,4,1,1,1,3,5.5
1498,44,1,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3,14,1,19,2,1,0,0,4,3,1,2,3,4.75
3473,35,1,Travel_Rarely,Sales,7,4,Life Sciences,Male,3,Sales Representative,Single,61180,0,21,1,9,3,4,4,7,4,1,3,2,4,9
543,50,1,Travel_Frequently,Research & Development,1,4,Medical,Male,2,Research Scientist,Single,159920,3,14,0,5,3,1,0,0,4,3,3,3,3,1.25
3018,29,1,Travel_Rarely,Research & Development,26,3,Medical,Female,1,Research Scientist,Married,23070,1,13,1,7,1,4,0,7,2,1,2,3,3,3.5
2491,44,1,Travel_Frequently,Sales,10,4,Life Sciences,Male,1,Research Scientist,Divorced,28440,1,12,0,6,2,3,2,3,3,2,2,4,3,3
1428,30,1,Travel_Frequently,Sales,3,2,Medical,Male,2,Healthcare Representative,Single,28620,5,14,0,9,2,4,0,1,3,1,2,2,3,1.5
4020,30,1,Travel_Rarely,Sales,12,4,Life Sciences,Female,2,Sales Executive,Single,49500,1,12,2,1,3,1,0,0,2,4,2,3,3,0.5
1023,35,1,Travel_Rarely,Research & Development,15,4,Life Sciences,Male,2,Research Scientist,Single,20970,1,22,1,10,4,4,7,7,3,4,3,3,4,5
3370,24,1,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Research Scientist,Single,160640,1,15,1,1,3,1,0,0,4,2,4,3,3,0.5
224,31,1,Travel_Rarely,Research & Development,9,1,Medical,Female,1,Sales Representative,Divorced,178560,2,12,2,9,2,2,1,2,2,1,1,2,3,3
3273,33,1,Travel_Rarely,Research & Development,23,4,Life Sciences,Male,1,Human Resources,Single,86390,5,16,2,6,3,2,0,2,1,1,3,2,3,1
965,47,1,Travel_Frequently,Research & Development,1,3,Medical,Female,2,Sales Executive,Married,178560,7,11,2,25,1,6,9,10,3,3,1,3,3,3.125
4334,41,1,Travel_Rarely,Research & Development,18,4,Life Sciences,Male,4,Laboratory Technician,Single,53470,1,22,1,4,1,3,0,2,2,2,2,3,4,2
1505,26,1,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1,12,2,8,5,4,7,4,4,4,3,3,3,4
519,24,1,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Manager,Single,57750,1,18,0,1,2,1,1,0,3,1,2,3,3,0.5
3531,43,1,Travel_Rarely,Sales,5,3,Marketing,Female,3,Research Scientist,Single,45220,8,15,1,7,3,3,1,3,1,3,2,3,3,0.777777778
4202,48,1,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,1,Sales Executive,Single,45910,8,16,0,23,5,1,0,0,1,3,3,1,3,2.3
3443,36,1,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,1,Research Scientist,Divorced,56600,7,12,0,9,3,1,0,0,1,3,2,3,3,1.125
3513,31,1,Travel_Frequently,Sales,10,3,Technical Degree,Female,1,Research Director,Married,53040,1,17,0,2,3,2,2,2,3,3,2,4,3,1
3972,34,1,Travel_Frequently,Research & Development,2,1,Life Sciences,Male,1,Manufacturing Director,Married,134990,4,22,2,11,2,4,0,7,4,1,2,4,4,2.2
182,34,1,Travel_Frequently,Sales,17,1,Marketing,Male,1,Research Director,Divorced,20970,8,22,1,11,5,2,0,2,2,1,3,4,4,1.1
3792,35,1,Travel_Rarely,Research & Development,2,3,Medical,Female,1,Research Scientist,Divorced,25320,1,13,0,1,2,1,0,0,1,1,3,1,3,0.5
3434,36,1,Travel_Rarely,Sales,2,4,Technical Degree,Male,4,Sales Executive,Single,54820,1,18,0,18,3,6,9,10,3,1,3,3,3,9
2054,28,1,Travel_Rarely,Research & Development,15,4,Life Sciences,Male,2,Sales Executive,Married,41970,1,13,0,1,3,1,0,0,3,4,2,1,3,0.5
2010,33,1,Travel_Rarely,Research & Development,8,2,Life Sciences,Male,4,Manufacturing Director,Single,29040,4,13,0,5,2,2,2,2,1,2,3,3,3,1
3939,31,1,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,2,Laboratory Technician,Married,168850,2,14,2,10,2,1,0,0,1,3,3,3,3,3.333333333
3145,26,1,Travel_Rarely,Sales,1,3,Marketing,Female,2,Manufacturing Director,Single,24260,1,22,0,1,3,1,0,0,3,4,1,1,4,0.5
2125,45,1,Travel_Rarely,Research & Development,12,3,Life Sciences,Male,2,Laboratory Technician,Single,43060,2,11,2,26,3,6,1,10,1,2,3,3,3,8.666666667
2921,32,1,Travel_Rarely,Sales,23,1,Life Sciences,Male,3,Healthcare Representative,Single,24680,0,11,0,4,2,2,1,2,4,3,1,3,3,4
1428,30,1,Travel_Frequently,Sales,3,2,Medical,Male,2,Healthcare Representative,Single,28620,5,14,0,9,2,4,0,1,3,1,2,2,3,1.5
1137,31,1,Travel_Frequently,Research & Development,2,1,Other,Male,3,Sales Executive,Married,70940,1,14,1,10,2,4,0,8,1,4,3,3,3,5
1394,41,1,Travel_Rarely,Research & Development,18,4,Life Sciences,Male,4,Laboratory Technician,Single,53470,1,22,1,4,1,3,0,2,2,2,2,3,4,2
2324,38,1,Travel_Rarely,Research & Development,2,3,Medical,Female,3,Sales Executive,Married,49080,4,19,1,7,3,3,1,4,3,2,3,2,3,1.4
2272,24,1,Travel_Frequently,Sales,3,3,Life Sciences,Male,2,Research Scientist,Single,76540,2,17,1,4,3,1,0,0,2,1,2,2,3,1.333333333
